bookId,gradeBaseId,semester,gradeLabel,subjectId,subjectLabel,editionId,editionLabel,title,status,sourceUrlOrBook,editionYear,unitLabels,notes
yilin-english-pri_g2-s1,pri_g2,s1,小学二年级（上）,english,英语,yilin,译林版,义务教育教科书·英语（译林版）小学二年级上册,pending,,,,
pep-science-pri_g2-s1,pri_g2,s1,小学二年级（上）,science,科学,pep,人教版,义务教育教科书·科学（人教版）小学二年级上册,pending,,,,
jsph-science-pri_g2-s1,pri_g2,s1,小学二年级（上）,science,科学,jsph,苏教版,义务教育教科书·科学（苏教版）小学二年级上册,pending,,,,
kexue-science-pri_g2-s1,pri_g2,s1,小学二年级（上）,science,科学,kexue,教科版,义务教育教科书·科学（教科版）小学二年级上册,pending,,,,
pep-morality-pri_g2-s1,pri_g2,s1,小学二年级（上）,morality,道德与法治,pep,人教版,义务教育教科书·道德与法治（人教版）小学二年级上册,pending,,,,
pep-pe-pri_g2-s1,pri_g2,s1,小学二年级（上）,pe,体育与健康,pep,人教版,义务教育教科书·体育与健康（人教版）小学二年级上册,pending,,,,
pep-music-pri_g2-s1,pri_g2,s1,小学二年级（上）,music,音乐,pep,人教版,义务教育教科书·音乐（人教版）小学二年级上册,pending,,,,
pep-art-pri_g2-s1,pri_g2,s1,小学二年级（上）,art,美术,pep,人教版,义务教育教科书·美术（人教版）小学二年级上册,pending,,,,
pep-chinese-pri_g2-s2,pri_g2,s2,小学二年级（下）,chinese,语文,pep,人教版,义务教育教科书·语文（人教版）小学二年级下册,pending,,,,
jsph-chinese-pri_g2-s2,pri_g2,s2,小学二年级（下）,chinese,语文,jsph,苏教版,义务教育教科书·语文（苏教版）小学二年级下册,pending,,,,
pep-math-pri_g2-s2,pri_g2,s2,小学二年级（下）,math,数学,pep,人教版,义务教育教科书·数学（人教版）小学二年级下册,pending,,,,
bnup-math-pri_g2-s2,pri_g2,s2,小学二年级（下）,math,数学,bnup,北师大版,义务教育教科书·数学（北师大版）小学二年级下册,pending,,,,
jsph-math-pri_g2-s2,pri_g2,s2,小学二年级（下）,math,数学,jsph,苏教版,义务教育教科书·数学（苏教版）小学二年级下册,pending,,,,
pep-english-pri_g2-s2,pri_g2,s2,小学二年级（下）,english,英语,pep,人教版,义务教育教科书·英语（人教版）小学二年级下册,pending,,,,
bnup-english-pri_g2-s2,pri_g2,s2,小学二年级（下）,english,英语,bnup,北师大版,义务教育教科书·英语（北师大版）小学二年级下册,pending,,,,
waiyan-english-pri_g2-s2,pri_g2,s2,小学二年级（下）,english,英语,waiyan,外研版,义务教育教科书·英语（外研版）小学二年级下册,pending,,,,
yilin-english-pri_g2-s2,pri_g2,s2,小学二年级（下）,english,英语,yilin,译林版,义务教育教科书·英语（译林版）小学二年级下册,pending,,,,
pep-science-pri_g2-s2,pri_g2,s2,小学二年级（下）,science,科学,pep,人教版,义务教育教科书·科学（人教版）小学二年级下册,pending,,,,
jsph-science-pri_g2-s2,pri_g2,s2,小学二年级（下）,science,科学,jsph,苏教版,义务教育教科书·科学（苏教版）小学二年级下册,pending,,,,
kexue-science-pri_g2-s2,pri_g2,s2,小学二年级（下）,science,科学,kexue,教科版,义务教育教科书·科学（教科版）小学二年级下册,pending,,,,
pep-morality-pri_g2-s2,pri_g2,s2,小学二年级（下）,morality,道德与法治,pep,人教版,义务教育教科书·道德与法治（人教版）小学二年级下册,pending,,,,
pep-pe-pri_g2-s2,pri_g2,s2,小学二年级（下）,pe,体育与健康,pep,人教版,义务教育教科书·体育与健康（人教版）小学二年级下册,pending,,,,
pep-music-pri_g2-s2,pri_g2,s2,小学二年级（下）,music,音乐,pep,人教版,义务教育教科书·音乐（人教版）小学二年级下册,pending,,,,
pep-art-pri_g2-s2,pri_g2,s2,小学二年级（下）,art,美术,pep,人教版,义务教育教科书·美术（人教版）小学二年级下册,pending,,,,
pep-chinese-pri_g3-s1,pri_g3,s1,小学三年级（上）,chinese,语文,pep,人教版,义务教育教科书·语文（人教版）小学三年级上册,pending,,,,
jsph-chinese-pri_g3-s1,pri_g3,s1,小学三年级（上）,chinese,语文,jsph,苏教版,义务教育教科书·语文（苏教版）小学三年级上册,pending,,,,
pep-math-pri_g3-s1,pri_g3,s1,小学三年级（上）,math,数学,pep,人教版,义务教育教科书·数学（人教版）小学三年级上册,pending,,,,
bnup-math-pri_g3-s1,pri_g3,s1,小学三年级（上）,math,数学,bnup,北师大版,义务教育教科书·数学（北师大版）小学三年级上册,pending,,,,
jsph-math-pri_g3-s1,pri_g3,s1,小学三年级（上）,math,数学,jsph,苏教版,义务教育教科书·数学（苏教版）小学三年级上册,pending,,,,
pep-english-pri_g3-s1,pri_g3,s1,小学三年级（上）,english,英语,pep,人教版,义务教育教科书·英语（人教版）小学三年级上册,pending,,,,
bnup-english-pri_g3-s1,pri_g3,s1,小学三年级（上）,english,英语,bnup,北师大版,义务教育教科书·英语（北师大版）小学三年级上册,pending,,,,
waiyan-english-pri_g3-s1,pri_g3,s1,小学三年级（上）,english,英语,waiyan,外研版,义务教育教科书·英语（外研版）小学三年级上册,pending,,,,
yilin-english-pri_g3-s1,pri_g3,s1,小学三年级（上）,english,英语,yilin,译林版,义务教育教科书·英语（译林版）小学三年级上册,pending,,,,
pep-science-pri_g3-s1,pri_g3,s1,小学三年级（上）,science,科学,pep,人教版,义务教育教科书·科学（人教版）小学三年级上册,pending,,,,
jsph-science-pri_g3-s1,pri_g3,s1,小学三年级（上）,science,科学,jsph,苏教版,义务教育教科书·科学（苏教版）小学三年级上册,pending,,,,
kexue-science-pri_g3-s1,pri_g3,s1,小学三年级（上）,science,科学,kexue,教科版,义务教育教科书·科学（教科版）小学三年级上册,pending,,,,
pep-morality-pri_g3-s1,pri_g3,s1,小学三年级（上）,morality,道德与法治,pep,人教版,义务教育教科书·道德与法治（人教版）小学三年级上册,pending,,,,
pep-pe-pri_g3-s1,pri_g3,s1,小学三年级（上）,pe,体育与健康,pep,人教版,义务教育教科书·体育与健康（人教版）小学三年级上册,pending,,,,
pep-music-pri_g3-s1,pri_g3,s1,小学三年级（上）,music,音乐,pep,人教版,义务教育教科书·音乐（人教版）小学三年级上册,pending,,,,
pep-art-pri_g3-s1,pri_g3,s1,小学三年级（上）,art,美术,pep,人教版,义务教育教科书·美术（人教版）小学三年级上册,pending,,,,
pep-chinese-pri_g3-s2,pri_g3,s2,小学三年级（下）,chinese,语文,pep,人教版,义务教育教科书·语文（人教版）小学三年级下册,pending,,,,
jsph-chinese-pri_g3-s2,pri_g3,s2,小学三年级（下）,chinese,语文,jsph,苏教版,义务教育教科书·语文（苏教版）小学三年级下册,pending,,,,
pep-math-pri_g3-s2,pri_g3,s2,小学三年级（下）,math,数学,pep,人教版,义务教育教科书·数学（人教版）小学三年级下册,pending,,,,
bnup-math-pri_g3-s2,pri_g3,s2,小学三年级（下）,math,数学,bnup,北师大版,义务教育教科书·数学（北师大版）小学三年级下册,pending,,,,
jsph-math-pri_g3-s2,pri_g3,s2,小学三年级（下）,math,数学,jsph,苏教版,义务教育教科书·数学（苏教版）小学三年级下册,pending,,,,
pep-english-pri_g3-s2,pri_g3,s2,小学三年级（下）,english,英语,pep,人教版,义务教育教科书·英语（人教版）小学三年级下册,pending,,,,
bnup-english-pri_g3-s2,pri_g3,s2,小学三年级（下）,english,英语,bnup,北师大版,义务教育教科书·英语（北师大版）小学三年级下册,pending,,,,
waiyan-english-pri_g3-s2,pri_g3,s2,小学三年级（下）,english,英语,waiyan,外研版,义务教育教科书·英语（外研版）小学三年级下册,pending,,,,
yilin-english-pri_g3-s2,pri_g3,s2,小学三年级（下）,english,英语,yilin,译林版,义务教育教科书·英语（译林版）小学三年级下册,pending,,,,
pep-science-pri_g3-s2,pri_g3,s2,小学三年级（下）,science,科学,pep,人教版,义务教育教科书·科学（人教版）小学三年级下册,pending,,,,
jsph-science-pri_g3-s2,pri_g3,s2,小学三年级（下）,science,科学,jsph,苏教版,义务教育教科书·科学（苏教版）小学三年级下册,pending,,,,
kexue-science-pri_g3-s2,pri_g3,s2,小学三年级（下）,science,科学,kexue,教科版,义务教育教科书·科学（教科版）小学三年级下册,pending,,,,
pep-morality-pri_g3-s2,pri_g3,s2,小学三年级（下）,morality,道德与法治,pep,人教版,义务教育教科书·道德与法治（人教版）小学三年级下册,pending,,,,
pep-pe-pri_g3-s2,pri_g3,s2,小学三年级（下）,pe,体育与健康,pep,人教版,义务教育教科书·体育与健康（人教版）小学三年级下册,pending,,,,
pep-music-pri_g3-s2,pri_g3,s2,小学三年级（下）,music,音乐,pep,人教版,义务教育教科书·音乐（人教版）小学三年级下册,pending,,,,
pep-art-pri_g3-s2,pri_g3,s2,小学三年级（下）,art,美术,pep,人教版,义务教育教科书·美术（人教版）小学三年级下册,pending,,,,
pep-chinese-pri_g4-s1,pri_g4,s1,小学四年级（上）,chinese,语文,pep,人教版,义务教育教科书·语文（人教版）小学四年级上册,pending,,,,
jsph-chinese-pri_g4-s1,pri_g4,s1,小学四年级（上）,chinese,语文,jsph,苏教版,义务教育教科书·语文（苏教版）小学四年级上册,pending,,,,
pep-math-pri_g4-s1,pri_g4,s1,小学四年级（上）,math,数学,pep,人教版,义务教育教科书·数学（人教版）小学四年级上册,pending,,,,
bnup-math-pri_g4-s1,pri_g4,s1,小学四年级（上）,math,数学,bnup,北师大版,义务教育教科书·数学（北师大版）小学四年级上册,pending,,,,
jsph-math-pri_g4-s1,pri_g4,s1,小学四年级（上）,math,数学,jsph,苏教版,义务教育教科书·数学（苏教版）小学四年级上册,pending,,,,
pep-english-pri_g4-s1,pri_g4,s1,小学四年级（上）,english,英语,pep,人教版,义务教育教科书·英语（人教版）小学四年级上册,pending,,,,
bnup-english-pri_g4-s1,pri_g4,s1,小学四年级（上）,english,英语,bnup,北师大版,义务教育教科书·英语（北师大版）小学四年级上册,pending,,,,
waiyan-english-pri_g4-s1,pri_g4,s1,小学四年级（上）,english,英语,waiyan,外研版,义务教育教科书·英语（外研版）小学四年级上册,pending,,,,
yilin-english-pri_g4-s1,pri_g4,s1,小学四年级（上）,english,英语,yilin,译林版,义务教育教科书·英语（译林版）小学四年级上册,pending,,,,
pep-science-pri_g4-s1,pri_g4,s1,小学四年级（上）,science,科学,pep,人教版,义务教育教科书·科学（人教版）小学四年级上册,pending,,,,
jsph-science-pri_g4-s1,pri_g4,s1,小学四年级（上）,science,科学,jsph,苏教版,义务教育教科书·科学（苏教版）小学四年级上册,pending,,,,
kexue-science-pri_g4-s1,pri_g4,s1,小学四年级（上）,science,科学,kexue,教科版,义务教育教科书·科学（教科版）小学四年级上册,pending,,,,
pep-morality-pri_g4-s1,pri_g4,s1,小学四年级（上）,morality,道德与法治,pep,人教版,义务教育教科书·道德与法治（人教版）小学四年级上册,pending,,,,
pep-pe-pri_g4-s1,pri_g4,s1,小学四年级（上）,pe,体育与健康,pep,人教版,义务教育教科书·体育与健康（人教版）小学四年级上册,pending,,,,
pep-music-pri_g4-s1,pri_g4,s1,小学四年级（上）,music,音乐,pep,人教版,义务教育教科书·音乐（人教版）小学四年级上册,pending,,,,
pep-art-pri_g4-s1,pri_g4,s1,小学四年级（上）,art,美术,pep,人教版,义务教育教科书·美术（人教版）小学四年级上册,pending,,,,
pep-chinese-pri_g4-s2,pri_g4,s2,小学四年级（下）,chinese,语文,pep,人教版,义务教育教科书·语文（人教版）小学四年级下册,pending,,,,
jsph-chinese-pri_g4-s2,pri_g4,s2,小学四年级（下）,chinese,语文,jsph,苏教版,义务教育教科书·语文（苏教版）小学四年级下册,pending,,,,
pep-math-pri_g4-s2,pri_g4,s2,小学四年级（下）,math,数学,pep,人教版,义务教育教科书·数学（人教版）小学四年级下册,pending,,,,
bnup-math-pri_g4-s2,pri_g4,s2,小学四年级（下）,math,数学,bnup,北师大版,义务教育教科书·数学（北师大版）小学四年级下册,pending,,,,
jsph-math-pri_g4-s2,pri_g4,s2,小学四年级（下）,math,数学,jsph,苏教版,义务教育教科书·数学（苏教版）小学四年级下册,pending,,,,
pep-english-pri_g4-s2,pri_g4,s2,小学四年级（下）,english,英语,pep,人教版,义务教育教科书·英语（人教版）小学四年级下册,pending,,,,
bnup-english-pri_g4-s2,pri_g4,s2,小学四年级（下）,english,英语,bnup,北师大版,义务教育教科书·英语（北师大版）小学四年级下册,pending,,,,
waiyan-english-pri_g4-s2,pri_g4,s2,小学四年级（下）,english,英语,waiyan,外研版,义务教育教科书·英语（外研版）小学四年级下册,pending,,,,
yilin-english-pri_g4-s2,pri_g4,s2,小学四年级（下）,english,英语,yilin,译林版,义务教育教科书·英语（译林版）小学四年级下册,pending,,,,
pep-science-pri_g4-s2,pri_g4,s2,小学四年级（下）,science,科学,pep,人教版,义务教育教科书·科学（人教版）小学四年级下册,pending,,,,
jsph-science-pri_g4-s2,pri_g4,s2,小学四年级（下）,science,科学,jsph,苏教版,义务教育教科书·科学（苏教版）小学四年级下册,pending,,,,
kexue-science-pri_g4-s2,pri_g4,s2,小学四年级（下）,science,科学,kexue,教科版,义务教育教科书·科学（教科版）小学四年级下册,pending,,,,
pep-morality-pri_g4-s2,pri_g4,s2,小学四年级（下）,morality,道德与法治,pep,人教版,义务教育教科书·道德与法治（人教版）小学四年级下册,pending,,,,
pep-pe-pri_g4-s2,pri_g4,s2,小学四年级（下）,pe,体育与健康,pep,人教版,义务教育教科书·体育与健康（人教版）小学四年级下册,pending,,,,
pep-music-pri_g4-s2,pri_g4,s2,小学四年级（下）,music,音乐,pep,人教版,义务教育教科书·音乐（人教版）小学四年级下册,pending,,,,
pep-art-pri_g4-s2,pri_g4,s2,小学四年级（下）,art,美术,pep,人教版,义务教育教科书·美术（人教版）小学四年级下册,pending,,,,
pep-chinese-pri_g5-s1,pri_g5,s1,小学五年级（上）,chinese,语文,pep,人教版,义务教育教科书·语文（人教版）小学五年级上册,pending,,,,
jsph-chinese-pri_g5-s1,pri_g5,s1,小学五年级（上）,chinese,语文,jsph,苏教版,义务教育教科书·语文（苏教版）小学五年级上册,pending,,,,
pep-math-pri_g5-s1,pri_g5,s1,小学五年级（上）,math,数学,pep,人教版,义务教育教科书·数学（人教版）小学五年级上册,pending,,,,
bnup-math-pri_g5-s1,pri_g5,s1,小学五年级（上）,math,数学,bnup,北师大版,义务教育教科书·数学（北师大版）小学五年级上册,pending,,,,
jsph-math-pri_g5-s1,pri_g5,s1,小学五年级（上）,math,数学,jsph,苏教版,义务教育教科书·数学（苏教版）小学五年级上册,pending,,,,
pep-english-pri_g5-s1,pri_g5,s1,小学五年级（上）,english,英语,pep,人教版,义务教育教科书·英语（人教版）小学五年级上册,pending,,,,
bnup-english-pri_g5-s1,pri_g5,s1,小学五年级（上）,english,英语,bnup,北师大版,义务教育教科书·英语（北师大版）小学五年级上册,pending,,,,
waiyan-english-pri_g5-s1,pri_g5,s1,小学五年级（上）,english,英语,waiyan,外研版,义务教育教科书·英语（外研版）小学五年级上册,pending,,,,
yilin-english-pri_g5-s1,pri_g5,s1,小学五年级（上）,english,英语,yilin,译林版,义务教育教科书·英语（译林版）小学五年级上册,pending,,,,
pep-science-pri_g5-s1,pri_g5,s1,小学五年级（上）,science,科学,pep,人教版,义务教育教科书·科学（人教版）小学五年级上册,pending,,,,
jsph-science-pri_g5-s1,pri_g5,s1,小学五年级（上）,science,科学,jsph,苏教版,义务教育教科书·科学（苏教版）小学五年级上册,pending,,,,
kexue-science-pri_g5-s1,pri_g5,s1,小学五年级（上）,science,科学,kexue,教科版,义务教育教科书·科学（教科版）小学五年级上册,pending,,,,
pep-morality-pri_g5-s1,pri_g5,s1,小学五年级（上）,morality,道德与法治,pep,人教版,义务教育教科书·道德与法治（人教版）小学五年级上册,pending,,,,
pep-pe-pri_g5-s1,pri_g5,s1,小学五年级（上）,pe,体育与健康,pep,人教版,义务教育教科书·体育与健康（人教版）小学五年级上册,pending,,,,
pep-music-pri_g5-s1,pri_g5,s1,小学五年级（上）,music,音乐,pep,人教版,义务教育教科书·音乐（人教版）小学五年级上册,pending,,,,
pep-art-pri_g5-s1,pri_g5,s1,小学五年级（上）,art,美术,pep,人教版,义务教育教科书·美术（人教版）小学五年级上册,pending,,,,
pep-chinese-pri_g5-s2,pri_g5,s2,小学五年级（下）,chinese,语文,pep,人教版,义务教育教科书·语文（人教版）小学五年级下册,pending,,,,
jsph-chinese-pri_g5-s2,pri_g5,s2,小学五年级（下）,chinese,语文,jsph,苏教版,义务教育教科书·语文（苏教版）小学五年级下册,pending,,,,
pep-math-pri_g5-s2,pri_g5,s2,小学五年级（下）,math,数学,pep,人教版,义务教育教科书·数学（人教版）小学五年级下册,pending,,,,
bnup-math-pri_g5-s2,pri_g5,s2,小学五年级（下）,math,数学,bnup,北师大版,义务教育教科书·数学（北师大版）小学五年级下册,pending,,,,
jsph-math-pri_g5-s2,pri_g5,s2,小学五年级（下）,math,数学,jsph,苏教版,义务教育教科书·数学（苏教版）小学五年级下册,pending,,,,
pep-english-pri_g5-s2,pri_g5,s2,小学五年级（下）,english,英语,pep,人教版,义务教育教科书·英语（人教版）小学五年级下册,pending,,,,
bnup-english-pri_g5-s2,pri_g5,s2,小学五年级（下）,english,英语,bnup,北师大版,义务教育教科书·英语（北师大版）小学五年级下册,pending,,,,
waiyan-english-pri_g5-s2,pri_g5,s2,小学五年级（下）,english,英语,waiyan,外研版,义务教育教科书·英语（外研版）小学五年级下册,pending,,,,
yilin-english-pri_g5-s2,pri_g5,s2,小学五年级（下）,english,英语,yilin,译林版,义务教育教科书·英语（译林版）小学五年级下册,pending,,,,
pep-science-pri_g5-s2,pri_g5,s2,小学五年级（下）,science,科学,pep,人教版,义务教育教科书·科学（人教版）小学五年级下册,pending,,,,
jsph-science-pri_g5-s2,pri_g5,s2,小学五年级（下）,science,科学,jsph,苏教版,义务教育教科书·科学（苏教版）小学五年级下册,pending,,,,
kexue-science-pri_g5-s2,pri_g5,s2,小学五年级（下）,science,科学,kexue,教科版,义务教育教科书·科学（教科版）小学五年级下册,pending,,,,
pep-morality-pri_g5-s2,pri_g5,s2,小学五年级（下）,morality,道德与法治,pep,人教版,义务教育教科书·道德与法治（人教版）小学五年级下册,pending,,,,
pep-pe-pri_g5-s2,pri_g5,s2,小学五年级（下）,pe,体育与健康,pep,人教版,义务教育教科书·体育与健康（人教版）小学五年级下册,pending,,,,
pep-music-pri_g5-s2,pri_g5,s2,小学五年级（下）,music,音乐,pep,人教版,义务教育教科书·音乐（人教版）小学五年级下册,pending,,,,
pep-art-pri_g5-s2,pri_g5,s2,小学五年级（下）,art,美术,pep,人教版,义务教育教科书·美术（人教版）小学五年级下册,pending,,,,
pep-chinese-pri_g6-s1,pri_g6,s1,小学六年级（上）,chinese,语文,pep,人教版,义务教育教科书·语文（人教版）小学六年级上册,pending,,,,
jsph-chinese-pri_g6-s1,pri_g6,s1,小学六年级（上）,chinese,语文,jsph,苏教版,义务教育教科书·语文（苏教版）小学六年级上册,pending,,,,
pep-math-pri_g6-s1,pri_g6,s1,小学六年级（上）,math,数学,pep,人教版,义务教育教科书·数学（人教版）小学六年级上册,pending,,,,
bnup-math-pri_g6-s1,pri_g6,s1,小学六年级（上）,math,数学,bnup,北师大版,义务教育教科书·数学（北师大版）小学六年级上册,pending,,,,
jsph-math-pri_g6-s1,pri_g6,s1,小学六年级（上）,math,数学,jsph,苏教版,义务教育教科书·数学（苏教版）小学六年级上册,pending,,,,
pep-english-pri_g6-s1,pri_g6,s1,小学六年级（上）,english,英语,pep,人教版,义务教育教科书·英语（人教版）小学六年级上册,pending,,,,
bnup-english-pri_g6-s1,pri_g6,s1,小学六年级（上）,english,英语,bnup,北师大版,义务教育教科书·英语（北师大版）小学六年级上册,pending,,,,
waiyan-english-pri_g6-s1,pri_g6,s1,小学六年级（上）,english,英语,waiyan,外研版,义务教育教科书·英语（外研版）小学六年级上册,pending,,,,
yilin-english-pri_g6-s1,pri_g6,s1,小学六年级（上）,english,英语,yilin,译林版,义务教育教科书·英语（译林版）小学六年级上册,pending,,,,
pep-science-pri_g6-s1,pri_g6,s1,小学六年级（上）,science,科学,pep,人教版,义务教育教科书·科学（人教版）小学六年级上册,pending,,,,
jsph-science-pri_g6-s1,pri_g6,s1,小学六年级（上）,science,科学,jsph,苏教版,义务教育教科书·科学（苏教版）小学六年级上册,pending,,,,
kexue-science-pri_g6-s1,pri_g6,s1,小学六年级（上）,science,科学,kexue,教科版,义务教育教科书·科学（教科版）小学六年级上册,pending,,,,
pep-morality-pri_g6-s1,pri_g6,s1,小学六年级（上）,morality,道德与法治,pep,人教版,义务教育教科书·道德与法治（人教版）小学六年级上册,pending,,,,
pep-pe-pri_g6-s1,pri_g6,s1,小学六年级（上）,pe,体育与健康,pep,人教版,义务教育教科书·体育与健康（人教版）小学六年级上册,pending,,,,
pep-music-pri_g6-s1,pri_g6,s1,小学六年级（上）,music,音乐,pep,人教版,义务教育教科书·音乐（人教版）小学六年级上册,pending,,,,
pep-art-pri_g6-s1,pri_g6,s1,小学六年级（上）,art,美术,pep,人教版,义务教育教科书·美术（人教版）小学六年级上册,pending,,,,
pep-chinese-pri_g6-s2,pri_g6,s2,小学六年级（下）,chinese,语文,pep,人教版,义务教育教科书·语文（人教版）小学六年级下册,pending,,,,
jsph-chinese-pri_g6-s2,pri_g6,s2,小学六年级（下）,chinese,语文,jsph,苏教版,义务教育教科书·语文（苏教版）小学六年级下册,pending,,,,
pep-math-pri_g6-s2,pri_g6,s2,小学六年级（下）,math,数学,pep,人教版,义务教育教科书·数学（人教版）小学六年级下册,pending,,,,
